Name,Material Type,Application,Strength,Water Resistance,Cost,Durability,Eco-Friendly
Chettinad Cement PPC, Cement, Residential Plastering, Medium, High,Low, Medium, Yes
Coromandel Cement OPC, Cement, Industrial Buildings, High, Low,Medium, High, Yes
Sagar Cement Portland, Cement, Reinforced Concrete, Low, Medium,Low, Medium, Yes
Manikgarh Cement SRPC, Cement, Long-lasting Structures, High, High,High, Low, Yes
Mangalam Cement PPC, Cement, Commercial Construction, Medium, High,Low, Low, No
Jaypee Cement OPC 53, Cement, Earthquake-resistant Buildings, High, Medium,Low, Medium, No
Zuari Cement PSC, Cement, Coastal & Marine Foundations, High, High,High, High, Yes
Orient Cement Portland, Cement, High-rise Structural Reinforcement, High, Medium,Medium, High, Yes
Prism Cement PSC, Cement, Coastal Reinforcement, Low, High,High, Medium, Yes
Deccan Cement OPC, Cement, Large Buildings & Infrastructure, High, Low,Medium, Medium, Yes
Maha Cement PPC, Cement, Residential Plastering, Medium, High,Low, Medium, Yes
Vicat Cement Portland, Cement, Industrial Buildings, High, Medium,Medium, High, Yes
Anjani Cement SRPC, Cement, Long-lasting Structures, High, High,High, High, Yes
Wonder Cement OPC 53, Cement, High-rise Structural Reinforcement, High, Medium,Medium, Low, No
Shree Ultra Cement PPC, Cement, Earthquake-resistant Buildings, High, Medium,Low, High, Yes
Reliance Cement PSC, Cement, Coastal & Marine Foundations, Low, High,High, Low, Yes
Sanghi Cement OPC 53, Cement, Bridges & Infrastructure, High, Low,Medium, High, Yes
Penna Premium Cement Portland, Cement, Masonry & Plastering, Medium, High,Low, High, Yes
KCP Cement SRPC, Cement, Sulphate Resistant Applications, High, High,High, High, Yes
Mehta Group Cement PPC, Cement, Large-scale Infrastructure, High, Medium,Medium, High, No
Chettinad Cement OPC, Cement, General Construction, Medium, Medium,Low, High, Yes
Coromandel Cement PSC, Cement, Coastal Reinforcement, High, High,High, High, Yes
Sagar Cement OPC 53, Cement, High Load Foundations, High, Medium,Medium, High, Yes
Manikgarh Cement PPC, Cement, Residential Masonry,Low, High,Low, High, Yes
Mangalam Cement Portland, Cement, Reinforced Concrete, High, Medium,Low, High, Yes
Jaypee Cement SRPC, Cement, Harsh Environmental Conditions, High, High,High, Low, Yes
Zuari Cement PSC, Cement, Bridges & Highways, High, Low,High, High, Yes
Orient Cement OPC, Cement, Structural Support, High, Medium,Medium, High, Yes
TATA Structura Cement, Cement, Large Structures, Medium, Medium,Medium, High, Yes
JSW Cement OPC 53, Cement, Reinforced Concrete, High, Medium,Low, High, Yes
SAIL Sulphate Resistant Cement, Cement, Harsh Environmental Conditions, High, High,High, High, Yes
Essar Cement PSC, Cement, Coastal & Marine Foundations, Low, High,High, High, Yes
Jindal Portland Cement, Cement, High-rise Structural Reinforcement, High, Medium,Medium, High, Yes
Rashtriya Ispat Nigam Cement, Cement, Bridges & Infrastructure, High, Low,Medium, High, Yes
UltraTech Premium Cement, Cement, Masonry & Plastering, Medium, High,Low, High, Yes
Ambuja Cement SRPC, Cement, Sulphate Resistant Applications, High, High,High, High, Yes
Ramco Cement PPC, Cement, Residential Construction, Medium, High,Low, Medium, Yes
Dalmia White Cement, Cement, Architectural Finishes, Medium, High,Low, Medium, Yes
Birla Cement OPC 53, Cement, Heavy Load Foundations, Low, Medium,Medium, Medium, Yes
JK Lakshmi Cement Portland, Cement, General Construction, High, Medium,Low, High, Yes
Bharathi Cement SRPC, Cement, Harsh Environmental Conditions, High, High,High, High, Yes
Penna Ultra Cement, Cement, Bridges & Highways, High, High,High, High, Yes
The India Cements Premium OPC, Cement, Structural Support, High, Medium,Medium, High, Yes
Zuari Cement SRPC, Cement, Sulphate Resistant Applications, High, High,High, High, Yes
Mehta Group Cement PSC, Cement, Coastal Reinforcement, High, High,High, High, Yes
Sagar Cement Portland, Cement, Industrial Buildings, High, Medium,Medium, Medium, Yes
Manikgarh Cement PSC, Cement, Large Buildings & Infrastructure, High, Medium,Medium, High, Yes
Chettinad Cement PPC, Cement, Masonry & Plastering, Medium, Low,Low, High, Yes
